empresa;local_id;local_nombre;local_region;local_comuna;local_direccion;local_rpm;local_convenio;laboratorio;fecha_emision;fecha_muestreo;tipo_muestreo;tipo_monitoreo;aceites_grasas;ph;dbo5;dqo;fosforo;nitrogeno_amoniacal;poder_espumogeno;solidos_sedimentables;solidos_suspendidos_totales;volumen_de_descarga_diaria;volumen_de_descarga_mensual;aluminio;arsenico;boro;cadmio;cianuro;zinc;cobre;cromo_total;cromo_hexavalente;hidrocarburos_totales;MANGANESO  (MG/L);mercurio;niquel;plomo;sulfatos;sulfuros;TEMPERATURA    (C°)
RENDIC;7;VALLENAR I;III - Atacama;Vallenar;Brasil 663;0.0;CONVENIO;CESMEC;;2023-12-01 00:00:00;RESUMEN;AUTOCONTROL;34.0;7.08;225.0;;6.4;29.5;4.0;0.5;178.0;5.3;159.0;;;;;;;;;;;;;;;;;19.3
RENDIC;87;JUAN MARTINEZ;I - Tarapacá;Iquique;M. Rodriguez 964;0.0;CONVENIO;SGS;;2023-12-11 00:00:00;RESUMEN;CONTROL DIRECTO;9.0;7.43;332.0;;8.5;53.74;23.0;10.1;206.0;8.9;267.0;;;;;;;;;;;;;;;;;25.44
RENDIC;778;ORIENTE;X - Los Lagos;Osorno;Julio Buschman 2223;2867.0;CONVENIO;CESMEC;;2023-12-12 00:00:00;RESUMEN;CONTROL DIRECTO;37.0;8.04;428.0;;12.4;54.95;2.0;0.5;114.0;6.3;189.0;;;;;;;;;;;;;;;;;9.3
RENDIC;544;PURRANQUE;X - Los Lagos;Purranque;Eleuterio Ramirez 549;0.0;SIN CONVENIO;CESMEC;;2023-12-20 00:00:00;RESUMEN;CONTROL DIRECTO;14.0;7.7;27.0;;1.6;1.47;2.0;0.5;15.0;16.2;486.0;;;;;;;;;;;;;;;;;15.1
RENDIC;576;CASTRO I;X - Los Lagos;Castro;O'Higgins 711;3875.0;SIN CONVENIO;CESMEC;;2023-12-22 00:00:00;RESUMEN;CONTROL DIRECTO;38.0;7.46;131.0;;9.0;13.67;2.0;1;170.0;0;0.0;;;;;;;;;;;;;;;;;16.4
RENDIC;777;CENTRAL;X - Los Lagos;Osorno;Patricio Lynch 1278;3684.0;CONVENIO;CESMEC;;2023-12-29 00:00:00;RESUMEN;CONTROL DIRECTO;15.0;7.3;273.0;;9.0;5.99;4.0;0.5;67.0;1.8;54.0;;;;;;;;;;;;;;;;;14.7
RENDIC;32;CHAÑARCILLO;III - Atacama;Copiapó;Chacabuco Nº 231;0.0;CONVENIO;CESMEC;;2024-01-03 00:00:00;RESUMEN;AUTOCONTROL;11.0;6.5;629.0;;49.8;70.2;8.0;12;434.0;4;120.0;;;;;;;;;;;;;;;;;21.64
RENDIC;86;BILBAO;I - Tarapacá;Iquique;Fco.Bilbao 3545;4049.0;CONVENIO;SGS;;2024-01-03 00:00:00;RESUMEN;CONTROL DIRECTO;9.0;6.82;805.0;;5.3;6.79;2.0;1.3;110.0;24.4;732.0;;;;;;;;;;;;;;;;;25.66
RENDIC;86;BILBAO;I - Tarapacá;Iquique;Fco.Bilbao 3545;4049.0;CONVENIO;SGS;;2024-01-04 00:00:00;RESUMEN;CONTROL DIRECTO;7.0;6.9;991.0;;5.5;12.71;2.0;2;127.0;24.9;747.0;;;;;;;;;;;;;;;;;26.3
RENDIC;23;LOS CARRERAS;III - Atacama;Copiapó;Los Carrera 479;0.0;SIN CONVENIO;CESMEC;;2024-01-05 00:00:00;RESUMEN;AUTOCONTROL;31.0;6.2;395.0;;6.8;19.4;20.0;0.6;73.0;0;0.0;;;;;;;;;;;;;;;;;23.3
