empresa;local_id;local_nombre;local_region;local_comuna;local_direccion;local_rpm;local_convenio;laboratorio;fecha_emision;fecha_muestreo;tipo_muestreo;tipo_monitoreo;aceites_grasas;ph;dbo5;dqo;fosforo;nitrogeno_amoniacal;poder_espumogeno;solidos_sedimentables;solidos_suspendidos_totales;volumen_de_descarga_diaria;volumen_de_descarga_mensual;aluminio;arsenico;boro;cadmio;cianuro;zinc;cobre;cromo_total;cromo_hexavalente;hidrocarburos_totales;manganeso;mercurio;niquel;plomo;sulfatos;sulfuros;created_at
RENDIC;106;LOS MOLLES;I - Tarapacá;Iquique;Santiago Polanco 2251;4050;CONVENIO;CESMEC;;11-09-2024;RESUMEN;AUTOCONTROL;16,3;7,02;146;5;6;40;0,5;48;;0;;;;;;;;;;;;;;;;;22,9;
RENDIC;441;AYSEN;XI - Aysén;Aysén;Carrera  1500;0;SIN CONVENIO;AGUAS PATAGONIA;;11-09-2024;RESUMEN;CONTROL DIRECTO;0,5;7,5;6;2;0,5;0,16;1;10;57,024;1710,72;;;;;;;;;;;;;;;;;9,95;
RENDIC;86;BILBAO;I - Tarapacá;Iquique;Fco.Bilbao 3545;4049;CONVENIO;CESMEC;;12-09-2024;RESUMEN;AUTOCONTROL;12,8;7,05;584;4;8,1;32,45;1,3;156;5,2;156;;;;;;;;;;;;;;;;;25,2;
RENDIC;778;ORIENTE;X - Los Lagos;Osorno;Julio Buschman 2223;2867;CONVENIO;CESMEC;;12-09-2024;RESUMEN;AUTOCONTROL;59,3;6,5;269;26;9,95;38,2;1;147;55,1;1653;;;;;;;;;;;;;;;;;15,2;
RENDIC;780;VICTORIA;X - Los Lagos;Osorno;Victoria 367 Rahue Bajo;1362;SIN CONVENIO;CESMEC;;12-09-2024;RESUMEN;AUTOCONTROL;28,6;6,51;183;16;7,38;29,5;0,5;63;1;30;;;;;;;;;;;;;;;;;14,3;
RENDIC;333;LOS LEONES;RM - Santiago;Ñuñoa;Gral. Jose Artigas 3250;0;SIN CONVENIO;AGUAS ANDINAS;;14-09-2024;RESUMEN;CONTROL DIRECTO;16;8,82;188;9,7;7,36;93,78;0,5;57;;0;;;;;;;;;;;;;;;;;21,6;
RENDIC;777;CENTRAL;X - Los Lagos;Osorno;Patricio Lynch 1278;3684;CONVENIO;CESMEC;;16-09-2024;RESUMEN;AUTOCONTROL;19,6;6,9;356;47;10,4;5;0,5;70;1;30;;;;;;;;;;;;;;;;;12,7;
RENDIC;458;ESPAÑA AUSTRAL;XII - Magallanes;Punta Arenas;Av. España 01375;1306;SIN CONVENIO;HIDROLAB;;16-09-2024;RESUMEN;AUTOCONTROL;2;7,1;379;2;4,6;8,2;0,1;56;12,54;376,2;;;;;;;;;;;;;;;;;8,4;
RENDIC;461;ZENTENO AUSTRAL;XII - Magallanes;Punta Arenas;Capitan Guillermo 05;3736;SIN CONVENIO;HIDROLAB;;16-09-2024;RESUMEN;AUTOCONTROL;0,5;7,03;14,2;2;0,97;1,5;0,1;5;45,14;1354,2;;;;;;;;;;;;;;;;;7,76;
RENDIC;465;PUERTO NATALES;XII - Magallanes;Puerto Natales;Bulnes 742;1133;SIN CONVENIO;HIDROLAB;;17-09-2024;VDD;AUTOCONTROL;;;;;;;;;20,52;615,6;;;;;;;;;;;;;;;;;;
RENDIC;46;CALAMA I;II - Antofagasta;Calama;Granaderos 3180;3035;SIN CONVENIO;CESMEC;;23-09-2024;RESUMEN;AUTOCONTROL;130;7,44;590;60;11,2;36,5;3,5;908;0;0;;;;;;;;;;;;;;;;;19,1;
RENDIC;111;CALAMA II;II - Antofagasta;Calama;Aconcagua 2588;2966;SIN CONVENIO;CESMEC;;23-09-2024;RESUMEN;AUTOCONTROL;88,9;7,81;270;4;4;22,42;0,5;148;30,2;906;1,89;0,0067;6,78;0,0465;0,1;0,138;0,0856;0,05;0,05;19,96;0,114;0,001;0,05;0,05;140;0,5;19,3;
RENDIC;14;COPIAPO;III - Atacama;Copiapó;Av. Henrriquez N° 523;0;CONVENIO;BIODIVERSA;;23-09-2024;RESUMEN;CONTROL DIRECTO;10,28;;475;9,7;3,45;31,9;0,9;42;;0;;;;;;;0,02;;;;;;;;;0,1;;
RENDIC;23;LOS CARRERAS;III - Atacama;Copiapó;Los Carrera 479;0;SIN CONVENIO;BIODIVERSA;;23-09-2024;RESUMEN;CONTROL DIRECTO;10,83;;601;15;2,13;87,5;0,9;47;;0;;;;;;;0,03;;;;;;;;;0,1;;
RENDIC;576;CASTRO I;X - Los Lagos;Castro;O'Higgins 711;3875;SIN CONVENIO;CESMEC;;24-09-2024;RESUMEN;AUTOCONTROL;7,1;7,1;519;17;25,8;137,1;1;102,5;5,7;171;;;;;;;;;;;;;;;;;10,7;
RENDIC;459;ALLENDE AUSTRAL;XII - Magallanes;Punta Arenas;Salvador Allende 0399;3735;SIN CONVENIO;HIDROLAB;;24-09-2024;RESUMEN;AUTOCONTROL;1,2;6,5;10,3;2;0,2;0,46;0,3;14;2;60;;;;;;;;;;;;;;;;;5,7;
RENDIC;463;BORIES AUSTRAL;XII - Magallanes;Punta Arenas;Gobernador Bories 647;3739;SIN CONVENIO;HIDROLAB;;24-09-2024;RESUMEN;AUTOCONTROL;0,5;6,99;14;2;0,35;1,1;0,6;24;6;180;;;;;;;;;;;;;;;;;6,18;
RENDIC;5;LAS COMPAÑIAS;IV - Coquimbo;La Serena;Nicaragua 1571;2644;SIN CONVENIO;CESMEC;;24-09-2024;RESUMEN;AUTOCONTROL;2;8,1;249;17;10,6;43,25;0,5;29;1,2;36;;;;;;;;;;;;;;;;;17,2;
RENDIC;22;ATACAMA;III - Atacama;Copiapó;Los Carreras 2242;2666;CONVENIO;BIODIVERSA;;24-09-2024;RESUMEN;CONTROL DIRECTO;20,7;;280;15;4,34;40,4;0,9;158,57;;0;;;;;;;0,09;;;;;;;;;0,1;;
RENDIC;32;CHAÑARCILLO;III - Atacama;Copiapó;Chacabuco Nº 231;0;CONVENIO;BIODIVERSA;;24-09-2024;RESUMEN;CONTROL DIRECTO;4,71;;241;7;3,8;32,2;0,9;110;;0;;;;;;;0,05;;;;;;;;;0,1;;
RENDIC;103;VIVAR;I - Tarapacá;Iquique;Vivar 786;4420;CONVENIO;CESMEC;;25-09-2024;COMPLETO;AUTOCONTROL;13,4;6,76;90;2;5,5;76,4;0,5;35;8,5;255;0,1;0,002;34,8;2,71;0,1;0,781;0,05;0,05;0,05;10;0,81;0,001;3,75;0,05;375;0,5;21,39;
RENDIC;9139;CD LO AGUIRRE;RM - Santiago;Pudahuel;CAMINO LO AGUIRRE SUR 537;3552;SIN CONVENIO;CESMEC;;25-09-2024;RESUMEN;AUTOCONTROL;10,7;7;31;2;4,8;32,5;0,8;19,4;227,52;6825,6;;;;;;;;;;10;;;;;;;18,75;
RENDIC;25;EL PALOMAR;III - Atacama;Copiapó;Av. Palomar 1525;3868;TERMINADO;CESMEC;;26-09-2024;RESUMEN;AUTOCONTROL;14,5;7,36;242;2;8,6;45,1;0,5;58;31,68;950,4;;;;;;;;;;;;;;;;;22,96;
RENDIC;17;LOS ALAMOS;IV - Coquimbo;Coquimbo;Los Alamos 580;2643;TERMINADO;CESMEC;;26-09-2024;RESUMEN;AUTOCONTROL;5,9;8,05;254;5;4,5;12,18;2,5;181;23,04;691,2;;;;;;;;;;;;;;;;;22,58;
MAYORISTA;3143;M10 TEMUCO IV;IX - Araucanía;Temuco;Francisco Salazar 01650;4422;CONVENIO;CESMEC;;26-09-2024;RESUMEN;AUTOCONTROL;19,7;7,46;81;2;3,29;19,2;4,5;107;2,8;84;;;;;;;;;;;;;;;;;19,15;
MAYORISTA;3014;M10 SAN FERNANDO;VI - O'Higgins;San Fernando;Chillan 745;1298;TERMINADO;CESMEC;;26-09-2024;RESUMEN;AUTOCONTROL;47,2;7,65;450;2;17,1;28,13;1,5;150;4,32;129,6;;;;;;;;;;;;;;;;;17,26;
RENDIC;911;MAIPU 4 PONIENTE;RM - Santiago;Maipú;4 Poniente 1197;0;SIN CONVENIO;HIDROLAB;;26-09-2024;RESUMEN;CONTROL DIRECTO;35;7,83;148;2;2,1;3,8;1,5;170;;0;;;;;;;;;;;;;;;;;21;
RENDIC;32;CHAÑARCILLO;III - Atacama;Copiapó;Chacabuco Nº 231;0;CONVENIO;CESMEC;;27-09-2024;RESUMEN;AUTOCONTROL;31,8;7,43;394;5;10,7;66,3;4;166;41,76;1252,8;;;;;;;;;;;;;;;;;22,83;
RENDIC;905;VICENTE VALDES;RM - Santiago;La Florida;Vicuña Mackenna 7802;0;SIN CONVENIO;AGUAS ANDINAS;;28-09-2024;RESUMEN;CONTROL DIRECTO;146;9;493;0,8;26,25;45,41;15;488;15;450;;;;;;;;;;;;;;;;;19,4;
RENDIC;910;MAIPU CAMINO MELIPILLA;RM - Santiago;Maipú;Camino Melipilla 16850;0;SIN CONVENIO;HIDROLAB;;28-09-2024;RESUMEN;CONTROL DIRECTO;1,3;7,55;486;2;10,4;40;0,1;26;;0;;;;;;;;;;;;;;;;;22;
RENDIC;778;ORIENTE;X - Los Lagos;Osorno;Julio Buschman 2223;2867;CONVENIO;ANAM;;29-09-2024;RESUMEN;CONTROL DIRECTO;19;6,42;218;2;8,9;29,93;0,5;219;16,1;483;;;;;;;;;;;;;;;;;11,6;
RENDIC;24;CHACABUCO;III - Atacama;Copiapó;Los Carreras  586;0;SIN CONVENIO;CESMEC;;30-09-2024;RESUMEN;AUTOCONTROL;6,8;7,9;88;22;0,7;5;0,5;47,2;23,4;702;;;;;;;;;;;;;;;;;23,11;
RENDIC;23;LOS CARRERAS;III - Atacama;Copiapó;Los Carrera 479;0;SIN CONVENIO;CESMEC;;30-09-2024;RESUMEN;AUTOCONTROL;61,8;7,54;497;2;15,4;57,8;0,5;76,9;26,64;799,2;;;;;;;;;;;;;;;;;23,8;
MAYORISTA;3022;M10 TEMUCO II;IX - Araucanía;Temuco;Pedro De Valdivia 2285;3721;CONVENIO;CESMEC;;30-09-2024;RESUMEN;AUTOCONTROL;12,9;7,16;70;16;3,67;8,9;0,5;70;0;0;;;;;;;;;;;;;;;;;15,06;
RENDIC;458;ESPAÑA AUSTRAL;XII - Magallanes;Punta Arenas;Av. España 01375;1306;SIN CONVENIO;HIDROLAB;;30-09-2024;RESUMEN;CONTROL DIRECTO;8,9;6,56;417;2;7,5;2,3;0,1;124;0;0;;;;;;;;;;;;;;;;;20;
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0;CONVENIO;BIODIVERSA;;02-10-2024;RESUMEN;CONTROL DIRECTO;11,35;;161;20;3,29;57;1,3;125;;0;;;;;;;;;;;;;;;;0,1;;
RENDIC;24;CHACABUCO;III - Atacama;Copiapó;Los Carreras  586;0;SIN CONVENIO;BIODIVERSA;;02-10-2024;RESUMEN;CONTROL DIRECTO;11,35;;161;20;3,29;57;1.,3;125;;0;;;;;;;;;;;;;;;;;;
RENDIC;777;CENTRAL;X - Los Lagos;Osorno;Patricio Lynch 1278;3684;CONVENIO;ANAM;;04-10-2024;RESUMEN;CONTROL DIRECTO;16;8,1;291;8;1,6;5,3;0,5;108;2;60;;;;;;;;;;;;;;;;;15,2;
RENDIC;778;ORIENTE;X - Los Lagos;Osorno;Julio Buschman 2223;2867;CONVENIO;ANAM;;10-10-2024;RESUMEN;CONTROL DIRECTO;149;6,8;1237;9;14,7;34,57;125;625;12;360;;;;;;;;;;;;;;;;;13,8;
RENDIC;O048803080;EDIFICIO LAS ARTES;RM - Santiago;Las Condes;Cerro El Plomo 5680. Piso 7,8,9,10 y 11;0;SIN CONVENIO;CESMEC;;14-10-2024;RESUMEN;AUTOCONTROL;15,7;7,36;44;10;4,93;39,6;0,5;85;;0;;;;;;;;;;;;;;;;;14;
RENDIC;7;VALLENAR I;III - Atacama;Vallenar;Brasil 663;0;CONVENIO;BIODIVERSA;;15-10-2024;RESUMEN;CONTROL DIRECTO;14,79;;563;13,3;3,46;174,5;2;137,29;;0;;;;;;;;;;;;;;;;0,1;;
RENDIC;344;CURICO ALAMEDA;VII - Maule;Curicó;Estado 43;4530;SIN CONVENIO;CESMEC;;15-10-2024;RESUMEN;AUTOCONTROL;13;6,67;519,8;5,3;4,49;41,7;10;440,5;0;0;;;;;;;;;;;;;;;;;16;
RENDIC;344;CURICO ALAMEDA;VII - Maule;Curicó;Estado 43;4530;SIN CONVENIO;BIODIVERSA;;15-10-2024;RESUMEN;CONTROL DIRECTO;13;7,15;519;5,3;4,49;41,7;;440;0,31;9,3;;;;;;;;;;;;;;;;;10,5;
RENDIC;336;CONCEPCION I;VIII - Biobío;Concepción;CHACABUCO 70;0;SIN CONVENIO;BIODIVERSA;;16-10-2024;RESUMEN;CONTROL DIRECTO;26;7,1;265,65;4,7;8,35;28,6;1;72,14;4579,2;137376;;;;;;;;;;;;;;;;;17,5;
RENDIC;88;LINARES I;VII - Maule;Linares;Maipu Nº 556;0;SIN CONVENIO;BIODIVERSA;;21-10-2024;RESUMEN;CONTROL DIRECTO;2;7,1;220,3;23,3;12,58;24,8;;45,95;0,18;5,4;;;;;;;;;;;;;;;;;14,5;
RENDIC;14;COPIAPO;III - Atacama;Copiapó;Av. Henrriquez N° 523;0;CONVENIO;CESMEC;;22-10-2024;RESUMEN;AUTOCONTROL;7,6;;112;6;6,9;30,15;5;32,4;;0;;;;;;;;;;;;;;;;;;
RENDIC;25;EL PALOMAR;III - Atacama;Copiapó;Av. Palomar 1525;3868;TERMINADO;CESMEC;;22-10-2024;RESUMEN;AUTOCONTROL;3,4;;264;3;7,4;57,4;0,5;40;;0;;;;;;;;;;;;;;;;;;
RENDIC;22;ATACAMA;III - Atacama;Copiapó;Los Carreras 2242;2666;CONVENIO;CESMEC;;22-10-2024;RESUMEN;AUTOCONTROL;36,4;;628;3;14;91,64;0,8;113;;0;;;;;;;;;;;;;;;;;;
RENDIC;442;COYHAIQUE;XI - Aysén;Coyhaique;Lautaro 331;1320;SIN CONVENIO;AGUAS PATAGONIA;;22-10-2024;RESUMEN;AUTOCONTROL;21;7,77;377;7;13,8;22;2;135;37,15;1114,5;;;;;;;;;;;;;;;;;10,84;
MAYORISTA;3013;M10 SAN BERNARDO I;RM - Santiago;San Bernardo;Av. Portales 2448;0;SIN CONVENIO;AGUAS ANDINAS;;22-10-2024;RESUMEN;CONTROL DIRECTO;19;8,61;175;11,7;9,27;61,02;0,2;55;3;90;;;;;;;;;;;;;;;;;18,5;
RENDIC;465;PUERTO NATALES;XII - Magallanes;Puerto Natales;Bulnes 742;1133;SIN CONVENIO;CONEMI;;23-10-2024;VDD;AUTOCONTROL;;;;;;;;;29,16;874,8;;;;;;;;;;;;;;;;;;
RENDIC;32;CHAÑARCILLO;III - Atacama;Copiapó;Chacabuco Nº 231;0;CONVENIO;CESMEC;;23-10-2024;RESUMEN;AUTOCONTROL;764;;1063;3;18,1;87,18;16;1086,7;;0;;;;;;;;;;;;;;;;;;
RENDIC;24;CHACABUCO;III - Atacama;Copiapó;Los Carreras  586;0;SIN CONVENIO;CESMEC;;23-10-2024;RESUMEN;AUTOCONTROL;16,8;;147;3;2,1;5;0,5;36;;0;;;;;;;;;;;;;;;;;;
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0;CONVENIO;CESMEC;;23-10-2024;RESUMEN;AUTOCONTROL;25,3;;573;5;19;56,94;1,5;212;;0;;;;;;;;;;;;;;;;;;
RENDIC;7;VALLENAR I;III - Atacama;Vallenar;Brasil 663;0;CONVENIO;CESMEC;;24-10-2024;RESUMEN;AUTOCONTROL;7,1;;165;7;7,8;5;2;127;;0;;;;;;;;;;;;;;;;;;
RENDIC;16;VALLENAR II;III - Atacama;Vallenar;Arturo Prat 2350;0;TERMINADO;CESMEC;;24-10-2024;RESUMEN;AUTOCONTROL;7,1;;165;7;7,8;5;2;127;;0;;;;;;;;;;;;;;;;;;
RENDIC;22;ATACAMA;III - Atacama;Copiapó;Los Carreras 2242;2666;CONVENIO;BIODIVERSA;;24-10-2024;RESUMEN;CONTROL DIRECTO;26,52;;526;;6,28;130;1,6;244;;0;;;;;;;;;;;;;;;;0,1;;
RENDIC;14;COPIAPO;III - Atacama;Copiapó;Av. Henrriquez N° 523;0;CONVENIO;BIODIVERSA;;24-10-2024;RESUMEN;CONTROL DIRECTO;;;284;;;38,05;0,9;26;;0;;;;;;;;;;;;;;;;0,1;;
RENDIC;32;CHAÑARCILLO;III - Atacama;Copiapó;Chacabuco Nº 231;0;CONVENIO;BIODIVERSA;;24-10-2024;RESUMEN;CONTROL DIRECTO;17,92;;380;;3,46;87,6;1;70;;0;;;;;;;;;;;;;;;;0,1;;
RENDIC;32;CHAÑARCILLO;III - Atacama;Copiapó;Chacabuco Nº 231;0;CONVENIO;BIODIVERSA;;24-10-2024;RESUMEN;CONTROL DIRECTO;17,92;;380;;3,46;87,6;1;70;;0;;;;;;;;;;;;;;;;0,1;;
RENDIC;477;CURAUMA;V - Valparaiso;Valparaíso;Obispo Valdes 1170;2721;SIN CONVENIO;CESMEC;;25-10-2024;COMPLETO;AUTOCONTROL;16,5;;87;2;4;13,91;3;59;;0;0,2009;0,005;0,1854;0,01;0,1;0,1;0,05;0,05;0,05;10;0,1069;0,001;0,05;0,05;93;0,5;;
MAYORISTA;3014;M10 SAN FERNANDO;VI - O'Higgins;San Fernando;Chillan 745;1298;TERMINADO;CESMEC;;25-10-2024;COMPLETO;AUTOCONTROL;42,2;;105;2;6,1;19,08;4;108;;0;0,7738;0,005;0,1371;0,01;0,1;0,6016;0,0868;0,05;0,05;10;0,072;0,001;0,05;0,05;63;0,5;;
RENDIC;544;PURRANQUE;X - Los Lagos;Purranque;Eleuterio Ramirez 549;0;SIN CONVENIO;ANAM;;25-10-2024;RESUMEN;CONTROL DIRECTO;15;7,6;70;2;2,4;3,7;1;74;12;360;;;;;;;;;;;;;;;;;9,8;
RENDIC;555;GRANEROS;VI - O'Higgins;Graneros;Obispo Rafael Lira 042;4574;SIN CONVENIO;CESMEC;;27-10-2024;RESUMEN;AUTOCONTROL;4;;107;28;7,5;15,34;0,5;43;;0;;;;;;;;;;;;;;;;;;
RENDIC;23;LOS CARRERAS;III - Atacama;Copiapó;Los Carrera 479;0;SIN CONVENIO;CESMEC;;28-10-2024;RESUMEN;AUTOCONTROL;10,5;;10;2;2,8;5;0,7;32;;0;;;;;;;;;;;;;;;;;;
RENDIC;9139;CD LO AGUIRRE;RM - Santiago;Pudahuel;CAMINO LO AGUIRRE SUR 537;3552;SIN CONVENIO;CESMEC;;29-10-2024;COMPLETO;AUTOCONTROL;9,5;;10;2;0,9;8,16;0,5;10;;0;;;;;;;;;;;;;;;;;;
RENDIC;14;COPIAPO;III - Atacama;Copiapó;Av. Henrriquez N° 523;0;CONVENIO;CESMEC;;05-11-2024;RESUMEN;CONTROL DIRECTO;19,8;7,15;398;21;6,7;25,71;0,5;46;1,18;35,4;;;;;;;;;;;;;;;;;21,03;
RENDIC;778;ORIENTE;X - Los Lagos;Osorno;Julio Buschman 2223;2867;CONVENIO;ANAM;;05-11-2024;RESUMEN;CONTROL DIRECTO;17;8,35;212;5;1,5;69,14;5;101;11;330;;;;;;;;;;;;;;;;;13;
RENDIC;777;CENTRAL;X - Los Lagos;Osorno;Patricio Lynch 1278;3684;CONVENIO;ANAM;;05-11-2024;RESUMEN;CONTROL DIRECTO;24;6,8;433;3;1,7;55,7;1,5;128;2;60;;;;;;;;;;;;;;;;;13,6;
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0;CONVENIO;BIODIVERSA;;05-11-2024;RESUMEN;CONTROL DIRECTO;3,2;;231;22,3;7,33;106,5;0,9;64;;0;;;;;;;;;;;;;;;;0,1;;
RENDIC;9139;CD LO AGUIRRE;RM - Santiago;Pudahuel;CAMINO LO AGUIRRE SUR 537;3552;SIN CONVENIO;ANAM;;05-11-2024;RESUMEN;CONTROL DIRECTO;15;8,4;76;0,8;4,96;33,54;;102;0,83;24,9;;;;;;;;;;;;;;;;;20,9;
LOGISTICA;9043;CD COQUIMBO FYV;IV - Coquimbo;Coquimbo;RUTA D-43, BARRIO INDUSTRIAL 701, TIERRAS BLANCAS;0;SIN CONVENIO;CESMEC;;07-11-2024;RESUMEN;AUTOCONTROL;9,7;7,5;10;2;4,8;;0,005;10;;0;0,1;0,0002;0,2525;0,01;0,1;0,0835;0,05;;0,05;5;0,0233;0,001;0,05;0,01;196;0,5;23,3;
LOGISTICA;9043;CD COQUIMBO FYV;IV - Coquimbo;Coquimbo;RUTA D-43, BARRIO INDUSTRIAL 701, TIERRAS BLANCAS;0;SIN CONVENIO;CESMEC;;08-11-2024;COMPLETO;AUTOCONTROL;9,7;7,5;10;2;4,8;;;10;;0;0,1;0,002;0,2525;0,01;0,1;0,0835;0,05;;0,05;5;0,0233;0,001;0,05;0,01;196;0,5;23,3;
RENDIC;22;ATACAMA;III - Atacama;Copiapó;Los Carreras 2242;2666;CONVENIO;CESMEC;;11-11-2024;RESUMEN;AUTOCONTROL;21,4;7,51;611;5;13,5;30,2;2;170;1,85;55,5;;;;;;;;;;;;;;;;;21,89;
RENDIC;7;VALLENAR I;III - Atacama;Vallenar;Brasil 663;0;CONVENIO;BIODIVERSA;;11-11-2024;RESUMEN;CONTROL DIRECTO;21,8;;687;40,3;8,09;93,9;0,9;142,11;;0;;;;;;;;;;;;;;;;0,1;;
RENDIC;32;CHAÑARCILLO;III - Atacama;Copiapó;Chacabuco Nº 231;0;CONVENIO;CESMEC;;12-11-2024;RESUMEN;AUTOCONTROL;144,5;7,44;1422;4;16,8;53,5;9,5;275;2,43;72,9;;;;;;;;;;;;;;;;;22,71;
RENDIC;25;EL PALOMAR;III - Atacama;Copiapó;Av. Palomar 1525;3868;TERMINADO;CESMEC;;12-11-2024;RESUMEN;AUTOCONTROL;15,4;7,55;205;3;5,9;28,9;4;35;1,75;52,5;;;;;;;;;;;;;;;;;23,1;
RENDIC;24;CHACABUCO;III - Atacama;Copiapó;Los Carreras  586;0;SIN CONVENIO;CESMEC;;14-11-2024;RESUMEN;AUTOCONTROL;5;7,36;116;35;1,2;5;0,9;58,3;0,96;28,8;;;;;;;;;;;;;;;;;20,84;
RENDIC;14;COPIAPO;III - Atacama;Copiapó;Av. Henrriquez N° 523;0;CONVENIO;BIODIVERSA;;14-11-2024;RESUMEN;CONTROL DIRECTO;6,38;;360;15,3;10,87;30,6;0,9;65;;0;;;;;;;;;;;;;;;;0,1;;
RENDIC;23;LOS CARRERAS;III - Atacama;Copiapó;Los Carrera 479;0;SIN CONVENIO;CESMEC;;15-11-2024;RESUMEN;AUTOCONTROL;30,6;7,1;614;2;13,3;59,87;2;175;0,59;17,7;;;;;;;;;;;;;;;;;19,69;
RENDIC;544;PURRANQUE;X - Los Lagos;Purranque;Eleuterio Ramirez 549;0;SIN CONVENIO;ANAM;;15-11-2024;RESUMEN;CONTROL DIRECTO;22;7,3;192;2;4,7;11,8;0,6;110;13;390;;;;;;;;;;;;;;;;;14,1;
RENDIC;32;CHAÑARCILLO;III - Atacama;Copiapó;Chacabuco Nº 231;0;CONVENIO;BIODIVERSA;;20-11-2024;RESUMEN;CONTROL DIRECTO;25,51;;475;;;56,3;;138,27;;0;;;;;;;;;;;;;;;;;;
MAYORISTA;3503;S10 PORTALES;RM - Santiago;San Bernardo;Av. Portales Oriente 1701;0;SIN CONVENIO;AGUAS ANDINAS;;23-11-2024;RESUMEN;CONTROL DIRECTO;61;7,76;173;0,8;10,06;84,75;2;340;14;420;;;;;;;;;;;;;;;;;19,5;
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0;CONVENIO;CESMEC;;26-11-2024;RESUMEN;AUTOCONTROL;14;7,53;331;2;16,6;30,61;5;202;;0;;;;;;;;;;;;;;;;;25,6;
RENDIC;7;VALLENAR I;III - Atacama;Vallenar;Brasil 663;0;CONVENIO;CESMEC;;28-11-2024;RESUMEN;AUTOCONTROL;21,2;7,94;164;5;12,4;63,12;1,2;198,3;1,25;37,5;;;;;;;;;;;;;;;;;23,03;
RENDIC;773;LLANQUIHUE;X - Los Lagos;Llanquihue;Baquedano 612;0;SIN CONVENIO;ANAM;;29-11-2024;RESUMEN;CONTROL DIRECTO;14;6,85;208;2;5,3;16,72;0,5;99;3;90;;;;;;;;;;;;;;;;;14;
MAYORISTA;3014;M10 SAN FERNANDO;VI - O'Higgins;San Fernando;Chillan 745;1298;TERMINADO;CESMEC;;29-11-2024;COMPLETO;AUTOCONTROL;23,5;7,01;146;3;8,1;10,07;1;73,3;7,776;233,28;0,16;0,005;0,1257;0,01;0,1;0,6116;0,1776;0,05;0,05;10;0,0341;0,001;0,05;0,05;82;0,5;22,03;
RENDIC;780;VICTORIA;X - Los Lagos;Osorno;Victoria 367 Rahue Bajo;1362;SIN CONVENIO;ANAM;;30-11-2024;RESUMEN;CONTROL DIRECTO;43;7,7;377;4;37,6;76,9;0,7;114;2;60;;;;;;;;;;;;;;;;;17,5;
RENDIC;22;ATACAMA;III - Atacama;Copiapó;Los Carreras 2242;2666;CONVENIO;CESMEC;;02-12-2024;RESUMEN;AUTOCONTROL;38,4;7,84;127;2;7,3;27,55;0,5;120;1,55;46,5;;;;;;;;;;;;;;;;;23,59;
RENDIC;9139;CD LO AGUIRRE;RM - Santiago;Pudahuel;CAMINO LO AGUIRRE SUR 537;3552;SIN CONVENIO;CESMEC;;02-12-2024;RESUMEN;AUTOCONTROL;15,2;7,69;123;6;7,1;60,51;1,9;160;38,16;1144,8;;;;;;;;;;;;;;;;;22,05;
LOGISTICA;9043;CD COQUIMBO FYV;IV - Coquimbo;Coquimbo;RUTA D-43, BARRIO INDUSTRIAL 701, TIERRAS BLANCAS;0;SIN CONVENIO;CESMEC;;02-12-2024;RESUMEN;AUTOCONTROL;15,2;7,69;123;6;7,1;60,51;1,9;160;1,33;39,9;;;;;;;;;;10;;;;;;;22,05;
RENDIC;375;ARAUCO;XIV - Los Ríos;Valdivia;Arauco 697;3420;CONVENIO;CESMEC;;03-12-2024;RESUMEN;AUTOCONTROL;4,54;6,73;103;93;5,02;11,9;0,5;33;;0;;;;;;;;;;;;;;;;;16,86;
RENDIC;7;VALLENAR I;III - Atacama;Vallenar;Brasil 663;0;CONVENIO;BIODIVERSA;;03-12-2024;RESUMEN;CONTROL DIRECTO;3,31;;324;7;10,06;95,5;4;183,33;;0;;;;;;;;;;;;;;;;0,1;;
RENDIC;778;ORIENTE;X - Los Lagos;Osorno;Julio Buschman 2223;2867;CONVENIO;ANAM;;03-12-2024;RESUMEN;CONTROL DIRECTO;38;7,3;223;3;9,9;37,4;18;410;20;600;;;;;;;;;;;;;;;;;16,2;
RENDIC;106;LOS MOLLES;I - Tarapacá;Iquique;Santiago Polanco 2251;4050;CONVENIO;SGS;;03-12-2024;RESUMEN;CONTROL DIRECTO;49;6,45;736;2;22,3;56,47;50;1045;4,32;129,6;;;;;;;;;;;;;;;;;24,35;
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0;CONVENIO;BIODIVERSA;;04-12-2024;RESUMEN;CONTROL DIRECTO;7,76;;164;15;5,99;14,35;1,5;105;;0;;;;;;;;;;;;;;;;0,1;;
RENDIC;24;CHACABUCO;III - Atacama;Copiapó;Los Carreras  586;0;SIN CONVENIO;CESMEC;;05-12-2024;RESUMEN;AUTOCONTROL;29;7,48;1085;3;6;5,08;1;150;6912;207360;;;;;;;;;;;;;;;;;20,79;
RENDIC;25;EL PALOMAR;III - Atacama;Copiapó;Av. Palomar 1525;3868;TERMINADO;CESMEC;;05-12-2024;RESUMEN;AUTOCONTROL;8,6;7,64;335;3;7,4;63,35;1;74;10022,4;300672;;;;;;;;;;;;;;;;;22,35;
