empresa;local_id;local_nombre;local_region;local_comuna;local_direccion;local_rpm;local_convenio;laboratorio;fecha_emision;fecha_muestreo;tipo_muestreo;tipo_monitoreo;aceites_grasas;ph;dbo5;dqo;fosforo;nitrogeno_amoniacal;poder_espumogeno;solidos_sedimentables;solidos_suspendidos_totales;volumen_de_descarga_diaria;volumen_de_descarga_mensual;aluminio;arsenico;boro;cadmio;cianuro;zinc;cobre;cromo_total;cromo_hexavalente;hidrocarburos_totales;manganeso;mercurio;niquel;plomo;sulfatos;sulfuros;created_at
RENDIC;778;ORIENTE;X - Los Lagos;Osorno;Julio Buschman 2223;2867;CONVENIO;CESMEC;;12-12-2023;RESUMEN;CONTROL DIRECTO;37;8,04;428;2;12,4;54,95;0,5;114;6,3;189;;;;;;;;;;;;;;;;;9,3;
RENDIC;544;PURRANQUE;X - Los Lagos;Purranque;Eleuterio Ramirez 549;0;SIN CONVENIO;CESMEC;;20-12-2023;RESUMEN;CONTROL DIRECTO;14;7,7;27;2;1,6;1,47;0,5;15;16,2;486;;;;;;;;;;;;;;;;;15,1;
RENDIC;576;CASTRO I;X - Los Lagos;Castro;O'Higgins 711;3875;SIN CONVENIO;CESMEC;;22-12-2023;RESUMEN;CONTROL DIRECTO;38;7,46;131;2;9;13,67;1;170;0;0;;;;;;;;;;;;;;;;;16,4;
RENDIC;777;CENTRAL;X - Los Lagos;Osorno;Patricio Lynch 1278;3684;CONVENIO;CESMEC;;29-12-2023;RESUMEN;CONTROL DIRECTO;15;7,3;273;4;9;5,99;0,5;67;1,8;54;;;;;;;;;;;;;;;;;14,7;
RENDIC;32;CHAÑARCILLO;III - Atacama;Copiapó;Chacabuco Nº 231;0;CONVENIO;CESMEC;;03-01-2024;RESUMEN;AUTOCONTROL;11;6,5;629;8;49,8;70,2;12;434;4;120;;;;;;;;;;;;;;;;;21,64;
RENDIC;86;BILBAO;I - Tarapacá;Iquique;Fco.Bilbao 3545;4049;CONVENIO;SGS;;03-01-2024;RESUMEN;CONTROL DIRECTO;9;6,82;805;2;5,3;6,79;1,3;110;24,4;732;;;;;;;;;;;;;;;;;25,66;
RENDIC;86;BILBAO;I - Tarapacá;Iquique;Fco.Bilbao 3545;4049;CONVENIO;SGS;;04-01-2024;RESUMEN;CONTROL DIRECTO;7;6,9;991;2;5,5;12,71;2;127;24,9;747;;;;;;;;;;;;;;;;;26,3;
RENDIC;23;LOS CARRERAS;III - Atacama;Copiapó;Los Carrera 479;0;SIN CONVENIO;CESMEC;;05-01-2024;RESUMEN;AUTOCONTROL;31;6,2;395;20;6,8;19,4;0,6;73;0;0;;;;;;;;;;;;;;;;;23,3;
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0;CONVENIO;CESMEC;;08-01-2024;RESUMEN;AUTOCONTROL;48;6;459;3;12,2;32;0,7;204;CESMEC;;;;;;;;;;;;;;;;;;24,9;
RENDIC;103;VIVAR;I - Tarapacá;Iquique;Vivar 786;4420;CONVENIO;SGS;;08-01-2024;RESUMEN;CONTROL DIRECTO;7;7,27;100;13;7,7;34,55;0,6;722;7,5;225;;;;;;;;;;;;;;;;;24,96;
RENDIC;16;VALLENAR II;III - Atacama;Vallenar;Arturo Prat 2350;0;TERMINADO;CESMEC;;09-01-2024;RESUMEN;AUTOCONTROL;96;;221;24;3,4;5;1,5;121;CESMEC;;;;;;;;;;;;;;;;;;;
RENDIC;87;JUAN MARTINEZ;I - Tarapacá;Iquique;M. Rodriguez 964;0;CONVENIO;SGS;;09-01-2024;RESUMEN;CONTROL DIRECTO;9;6,94;979;8;22,2;64,66;30;770;5;150;;;;;;;;;;;;;;;;;25,11;
RENDIC;14;COPIAPO;III - Atacama;Copiapó;Av. Henrriquez N° 523;0;CONVENIO;BIODIVERSA;;09-01-2024;RESUMEN;CONTROL DIRECTO;0,4;22,5;219;14;6,12;12,4;0,9;33;2,88;86,4;;;;;;;;;;;;;;;;0,1;6,8;
RENDIC;85;AMUNATEGUI;I - Tarapacá;Iquique;Amunategui 902;0;CONVENIO;SGS;;09-01-2024;RESUMEN;CONTROL DIRECTO;9;6,99;583;10;13,4;20,98;18;1003;3,2;96;;;;;;;;;;;;;;;;;25,17;
RENDIC;85;AMUNATEGUI;I - Tarapacá;Iquique;Amunategui 902;0;CONVENIO;SGS;;10-01-2024;RESUMEN;CONTROL DIRECTO;9;7,29;572;5;15,1;8,66;5;303;6,3;189;;;;;;;;;;;;;;;;;24,16;
MAYORISTA;3014;M10 SAN FERNANDO;VI - O'Higgins;San Fernando;Chillan 745;1298;TERMINADO;CESMEC;;11-01-2024;RESUMEN;AUTOCONTROL;13;7,2;186;29;7,1;52,9;0,5;40;1;30;;;;;;;;;;;;;;;;;21,7;
MAYORISTA;3143;M10 TEMUCO IV;IX - Araucanía;Temuco;Francisco Salazar 01650;4422;CONVENIO;AGQ;;12-01-2024;RESUMEN;CONTROL DIRECTO;0,5;7,68;13,7;5;1,77;6,78;0,1;31;3,96;118,8;;;;;;;;;;;;;;;;;19,25;
RENDIC;9139;CD LO AGUIRRE;RM - Santiago;Pudahuel;CAMINO LO AGUIRRE SUR 537;3552;SIN CONVENIO;CESMEC;;15-01-2024;RESUMEN;AUTOCONTROL;8;7,6;135;3;4,7;38,25;1;81;138,6;4158;;;;;;;;;;10;;;;;;;22,9;
MAYORISTA;3022;M10 TEMUCO II;IX - Araucanía;Temuco;Pedro De Valdivia 2285;3721;CONVENIO;AGQ;;15-01-2024;RESUMEN;CONTROL DIRECTO;15;7,23;639;2;18,8;21,3;10;680;1,08;32,4;;;;;;;;;;;;;;;;;18,15;
RENDIC;34;LA CHIMBA;II - Antofagasta;Antofagasta;Pedro Aguirre Cerda 8700;0;SIN CONVENIO;CESMEC;;16-01-2024;RESUMEN;AUTOCONTROL;47;7,03;311;26;7,6;27,1;0,5;60;2,88;86,4;;;;;;;;;;;;;;;;;19,6;
RENDIC;961;LA CHIMBA II;II - Antofagasta;Antofagasta;Av. Pedro Aguirre Cerda 11385;0;SIN CONVENIO;CESMEC;;16-01-2024;RESUMEN;AUTOCONTROL;75;5,75;241;26;11,1;36,2;0,5;100;0;0;;;;;;;;;;;;;;;;;21,2;
RENDIC;555;GRANEROS;VI - O'Higgins;Graneros;Obispo Rafael Lira 042;4574;SIN CONVENIO;CESMEC;;18-01-2024;RESUMEN;AUTOCONTROL;20;7,4;173;3;4;29,2;1,5;113;1,3;39;;;;;;;;;;;;;;;;;21,5;
RENDIC;472;CALDERA I;III - Atacama;Caldera;Batallon Atacama 319;0;CONVENIO;BIODIVERSA;;18-01-2024;RESUMEN;CONTROL DIRECTO;0,78;;2690;108;10,13;25,45;0,9;100;;0;;;;;;;;;;;;;;;;0,4;;
RENDIC;461;ZENTENO AUSTRAL;XII - Magallanes;Punta Arenas;Capitan Guillermo 05;3736;SIN CONVENIO;HIDROLAB;;18-01-2024;RESUMEN;CONTROL DIRECTO;1,6;8,16;411;2;4,1;5,14;0,2;81;0;0;;;;;;;;;;;;;;;;;21,6;
RENDIC;29;GRAN VIA;II - Antofagasta;Antofagasta;Av. Angamos 0159;0;SIN CONVENIO;CESMEC;;19-01-2024;RESUMEN;AUTOCONTROL;24;6,93;31;10;2,4;5;0,5;23;6,3;189;;;;;;;;;;;;;;;;;23,2;
RENDIC;777;CENTRAL;X - Los Lagos;Osorno;Patricio Lynch 1278;3684;CONVENIO;ANAM;;19-01-2024;RESUMEN;CONTROL DIRECTO;22;7,19;494;6;13,2;0,93;0,5;86;1,6;48;;;;;;;;;;;;;;;;;19,2;
RENDIC;519;TRAIGUEN;IX - Araucanía;Traiguén;Santa Cruz 1170;0;CONVENIO;AGQ;;19-01-2024;RESUMEN;CONTROL DIRECTO;20;6,505;290;2;13;17,4;4,5;180;0,72;21,6;;;;;;;;;;;;;;;;;19,3;
RENDIC;532;CURACAUTIN;IX - Araucanía;Curacautin;"O""Higgins 515";0;CONVENIO;AGQ;;22-01-2024;RESUMEN;CONTROL DIRECTO;0,5;8,07;219;25;3,6;312;0,1;40;1,01;30,3;;;;;;;;;;;;;;;;;19,6;
RENDIC;106;LOS MOLLES;I - Tarapacá;Iquique;Santiago Polanco 2251;4050;CONVENIO;SGS;;22-01-2024;RESUMEN;CONTROL DIRECTO;8;7,34;375;22;6,5;57,49;0,5;94;3,1;93;;;;;;;;;;;;;;;;;24,26;
RENDIC;923;SANTA MARIA ARICA;XV - Arica y Parinacota;Arica;AV.STA. MARIA  2465;0;SIN CONVENIO;SGS;;22-01-2024;RESUMEN;CONTROL DIRECTO;5;6,75;28;2;1,5;8,5;1,4;54;3,5;105;;;;;;;;;;;;;;;;;23,88;
RENDIC;778;ORIENTE;X - Los Lagos;Osorno;Julio Buschman 2223;2867;CONVENIO;ANAM;;23-01-2024;RESUMEN;CONTROL DIRECTO;55;7,98;425;2;12,7;33,02;0,5;93;10,5;315;;;;;;;;;;;;;;;;;16,2;
RENDIC;32;CHAÑARCILLO;III - Atacama;Copiapó;Chacabuco Nº 231;0;CONVENIO;BIODIVERSA;;23-01-2024;RESUMEN;CONTROL DIRECTO;7;;583;37;9,83;69;1,2;103;;0;;;;;;;;;;;;;;;;0,1;;
RENDIC;22;ATACAMA;III - Atacama;Copiapó;Los Carreras 2242;2666;CONVENIO;BIODIVERSA;;23-01-2024;RESUMEN;CONTROL DIRECTO;2;;665;25;10,05;52,5;1,4;100;;0;;;;;;;;;;;;;;;;0,2;;
RENDIC;106;LOS MOLLES;I - Tarapacá;Iquique;Santiago Polanco 2251;4050;CONVENIO;SGS;;23-01-2024;RESUMEN;CONTROL DIRECTO;7;6,85;375;30;7;40,72;0,5;98;3;90;;;;;;;;;;;;;;;;;23,86;
RENDIC;86;BILBAO;I - Tarapacá;Iquique;Fco.Bilbao 3545;4049;CONVENIO;SGS;;23-01-2024;RESUMEN;CONTROL DIRECTO;6;6,84;635;10;12,6;29,54;0,5;66;30,7;921;;;;;;;;;;;;;;;;;27,87;
RENDIC;362;LAS TRANQUERAS;RM - Santiago;Vitacura;Vitacura 8400;0;SIN CONVENIO;AGUAS ANDINAS;;25-01-2024;RESUMEN;CONTROL DIRECTO;47;8,99;277;0,8;11,45;66,56;10;230;4;120;;;;;;;;;;;;;;;;;16,8;
RENDIC;87;JUAN MARTINEZ;I - Tarapacá;Iquique;M. Rodriguez 964;0;CONVENIO;SGS;;25-01-2024;RESUMEN;CONTROL DIRECTO;2;6,89;78;2;3,7;50,15;0,6;63;9,4;282;;;;;;;;;;;;;;;;;26,88;
RENDIC;85;AMUNATEGUI;I - Tarapacá;Iquique;Amunategui 902;0;CONVENIO;SGS;;25-01-2024;RESUMEN;CONTROL DIRECTO;7;6,65;299;2;8,2;178,62;8;454;3,8;114;;;;;;;;;;;;;;;;;25,21;
